Sex,Age,Household Language,Educational Attainment,Employment Status,Disability Status,School Attendance,Population
Male,18,N/A (GQ/vacant),N/A (less than 3 years old),"Civilian employed, at work",With a disability,"No, has not attended in the last 3 months",0
Male,19,N/A (GQ/vacant),N/A (less than 3 years old),"Civilian employed, at work",With a disability,"No, has not attended in the last 3 months",0
Male,20,N/A (GQ/vacant),N/A (less than 3 years old),"Civilian employed, at work",With a disability,"No, has not attended in the last 3 months",0
Male,21,N/A (GQ/vacant),N/A (less than 3 years old),"Civilian employed, at work",With a disability,"No, has not attended in the last 3 months",0
Male,22,N/A (GQ/vacant),N/A (less than 3 years old),"Civilian employed, at work",With a disability,"No, has not attended in the last 3 months",0
Male,23,N/A (GQ/vacant),N/A (less than 3 years old),"Civilian employed, at work",With a disability,"No, has not attended in the last 3 months",0
Male,24,N/A (GQ/vacant),N/A (less than 3 years old),"Civilian employed, at work",With a disability,"No, has not attended in the last 3 months",0
Male,25,N/A (GQ/vacant),N/A (less than 3 years old),"Civilian employed, at work",With a disability,"No, has not attended in the last 3 months",0
Male,26,N/A (GQ/vacant),N/A (less than 3 years old),"Civilian employed, at work",With a disability,"No, has not attended in the last 3 months",0
Male,27,N/A (GQ/vacant),N/A (less than 3 years old),"Civilian employed, at work",With a disability,"No, has not attended in the last 3 months",0
Male,28,N/A (GQ/vacant),N/A (less than 3 years old),"Civilian employed, at work",With a disability,"No, has not attended in the last 3 months",0
Male,29,N/A (GQ/vacant),N/A (less than 3 years old),"Civilian employed, at work",With a disability,"No, has not attended in the last 3 months",0
Male,30,N/A (GQ/vacant),N/A (less than 3 years old),"Civilian employed, at work",With a disability,"No, has not attended in the last 3 months",0
Male,18,English Only,N/A (less than 3 years old),"Civilian employed, at work",With a disability,"No, has not attended in the last 3 months",0
Male,19,English Only,N/A (less than 3 years old),"Civilian employed, at work",With a disability,"No, has not attended in the last 3 months",0
Male,20,English Only,N/A (less than 3 years old),"Civilian employed, at work",With a disability,"No, has not attended in the last 3 months",0
