Gender,Age,Occupation,Population
Male,18.0,MGR-Chief Executives And Legislators,0.0
Male,19.0,MGR-Chief Executives And Legislators,0.0
Male,20.0,MGR-Chief Executives And Legislators,0.0
Male,21.0,MGR-Chief Executives And Legislators,0.0
Male,22.0,MGR-Chief Executives And Legislators,0.0
Male,23.0,MGR-Chief Executives And Legislators,0.0
Male,24.0,MGR-Chief Executives And Legislators,0.0
Male,25.0,MGR-Chief Executives And Legislators,0.0
Male,26.0,MGR-Chief Executives And Legislators,0.0
Male,27.0,MGR-Chief Executives And Legislators,0.0
Male,28.0,MGR-Chief Executives And Legislators,0.0
Male,29.0,MGR-Chief Executives And Legislators,0.0
Male,30.0,MGR-Chief Executives And Legislators,0.0
Female,18.0,MGR-Chief Executives And Legislators,0.0
Female,19.0,MGR-Chief Executives And Legislators,0.0
Female,20.0,MGR-Chief Executives And Legislators,0.0
Female,21.0,MGR-Chief Executives And Legislators,0.0
Female,22.0,MGR-Chief Executives And Legislators,0.0
Female,23.0,MGR-Chief Executives And Legislators,0.0
Female,24.0,MGR-Chief Executives And Legislators,0.0
Female,25.0,MGR-Chief Executives And Legislators,0.0
Female,26.0,MGR-Chief Executives And Legislators,0.0
Female,27.0,MGR-Chief Executives And Legislators,126.0
Female,28.0,MGR-Chief Executives And Legislators,0.0
Female,29.0,MGR-Chief Executives And Legislators,0.0
Female,30.0,MGR-Chief Executives And Legislators,204.0
Male,18.0,MGR-General And Operations Managers,0.0
Male,19.0,MGR-General And Operations Managers,0.0
Male,20.0,MGR-General And Operations Managers,0.0
Male,21.0,MGR-General And Operations Managers,0.0
Male,22.0,MGR-General And Operations Managers,0.0
Male,23.0,MGR-General And Operations Managers,15.0
Male,24.0,MGR-General And Operations Managers,0.0
Male,25.0,MGR-General And Operations Managers,0.0
Male,26.0,MGR-General And Operations Managers,0.0
Male,27.0,MGR-General And Operations Managers,86.0
Male,28.0,MGR-General And Operations Managers,300.0
Male,29.0,MGR-General And Operations Managers,71.0
Male,30.0,MGR-General And Operations Managers,304.0
Female,18.0,MGR-General And Operations Managers,0.0
Female,19.0,MGR-General And Operations Managers,0.0
Female,20.0,MGR-General And Operations Managers,0.0
Female,21.0,MGR-General And Operations Managers,0.0
Female,22.0,MGR-General And Operations Managers,0.0
Female,23.0,MGR-General And Operations Managers,0.0
Female,24.0,MGR-General And Operations Managers,0.0
Female,25.0,MGR-General And Operations Managers,154.0
Female,26.0,MGR-General And Operations Managers,0.0
Female,27.0,MGR-General And Operations Managers,56.0
Female,28.0,MGR-General And Operations Managers,65.0
Female,29.0,MGR-General And Operations Managers,0.0
Female,30.0,MGR-General And Operations Managers,35.0
Male,18.0,MGR-Advertising And Promotions Managers,0.0
Male,19.0,MGR-Advertising And Promotions Managers,0.0
Male,20.0,MGR-Advertising And Promotions Managers,0.0
Male,21.0,MGR-Advertising And Promotions Managers,0.0
Male,22.0,MGR-Advertising And Promotions Managers,0.0
Male,23.0,MGR-Advertising And Promotions Managers,0.0
Male,24.0,MGR-Advertising And Promotions Managers,0.0
Male,25.0,MGR-Advertising And Promotions Managers,0.0
Male,26.0,MGR-Advertising And Promotions Managers,0.0
Male,27.0,MGR-Advertising And Promotions Managers,0.0
Male,28.0,MGR-Advertising And Promotions Managers,0.0
Male,29.0,MGR-Advertising And Promotions Managers,0.0
Male,30.0,MGR-Advertising And Promotions Managers,0.0
Female,18.0,MGR-Advertising And Promotions Managers,0.0
Female,19.0,MGR-Advertising And Promotions Managers,0.0
Female,20.0,MGR-Advertising And Promotions Managers,0.0
Female,21.0,MGR-Advertising And Promotions Managers,0.0
Female,22.0,MGR-Advertising And Promotions Managers,0.0
Female,23.0,MGR-Advertising And Promotions Managers,0.0
Female,24.0,MGR-Advertising And Promotions Managers,0.0
Female,25.0,MGR-Advertising And Promotions Managers,0.0
Female,26.0,MGR-Advertising And Promotions Managers,304.0
Female,27.0,MGR-Advertising And Promotions Managers,0.0
Female,28.0,MGR-Advertising And Promotions Managers,81.0
Female,29.0,MGR-Advertising And Promotions Managers,0.0
Female,30.0,MGR-Advertising And Promotions Managers,0.0
Male,18.0,MGR-Marketing Managers,0.0
Male,19.0,MGR-Marketing Managers,0.0
Male,20.0,MGR-Marketing Managers,0.0
Male,21.0,MGR-Marketing Managers,0.0
Male,22.0,MGR-Marketing Managers,0.0
Male,23.0,MGR-Marketing Managers,0.0
Male,24.0,MGR-Marketing Managers,0.0
Male,25.0,MGR-Marketing Managers,144.0
Male,26.0,MGR-Marketing Managers,0.0
Male,27.0,MGR-Marketing Managers,0.0
Male,28.0,MGR-Marketing Managers,0.0
Male,29.0,MGR-Marketing Managers,0.0
Male,30.0,MGR-Marketing Managers,0.0
Female,18.0,MGR-Marketing Managers,0.0
Female,19.0,MGR-Marketing Managers,0.0
Female,20.0,MGR-Marketing Managers,0.0
Female,21.0,MGR-Marketing Managers,0.0
Female,22.0,MGR-Marketing Managers,0.0
Female,23.0,MGR-Marketing Managers,79.0
Female,24.0,MGR-Marketing Managers,231.0
Female,25.0,MGR-Marketing Managers,153.0
Female,26.0,MGR-Marketing Managers,479.0
Female,27.0,MGR-Marketing Managers,222.0
Female,28.0,MGR-Marketing Managers,0.0
Female,29.0,MGR-Marketing Managers,107.0
Female,30.0,MGR-Marketing Managers,72.0
Male,18.0,MGR-Sales Managers,0.0
Male,19.0,MGR-Sales Managers,0.0
Male,20.0,MGR-Sales Managers,0.0
Male,21.0,MGR-Sales Managers,0.0
Male,22.0,MGR-Sales Managers,0.0
Male,23.0,MGR-Sales Managers,0.0
Male,24.0,MGR-Sales Managers,101.0
Male,25.0,MGR-Sales Managers,0.0
Male,26.0,MGR-Sales Managers,0.0
Male,27.0,MGR-Sales Managers,28.0
Male,28.0,MGR-Sales Managers,51.0
Male,29.0,MGR-Sales Managers,0.0
Male,30.0,MGR-Sales Managers,0.0
Female,18.0,MGR-Sales Managers,0.0
Female,19.0,MGR-Sales Managers,0.0
Female,20.0,MGR-Sales Managers,0.0
Female,21.0,MGR-Sales Managers,0.0
Female,22.0,MGR-Sales Managers,0.0
Female,23.0,MGR-Sales Managers,0.0
Female,24.0,MGR-Sales Managers,0.0
Female,25.0,MGR-Sales Managers,0.0
Female,26.0,MGR-Sales Managers,0.0
Female,27.0,MGR-Sales Managers,40.0
Female,28.0,MGR-Sales Managers,0.0
Female,29.0,MGR-Sales Managers,463.0
Female,30.0,MGR-Sales Managers,0.0
Male,18.0,MGR-Public Relations And Fundraising Managers,0.0
Male,19.0,MGR-Public Relations And Fundraising Managers,0.0
Male,20.0,MGR-Public Relations And Fundraising Managers,0.0
Male,21.0,MGR-Public Relations And Fundraising Managers,0.0
Male,22.0,MGR-Public Relations And Fundraising Managers,32.0
Male,23.0,MGR-Public Relations And Fundraising Managers,0.0
Male,24.0,MGR-Public Relations And Fundraising Managers,0.0
Male,25.0,MGR-Public Relations And Fundraising Managers,0.0
Male,26.0,MGR-Public Relations And Fundraising Managers,0.0
Male,27.0,MGR-Public Relations And Fundraising Managers,0.0
Male,28.0,MGR-Public Relations And Fundraising Managers,0.0
Male,29.0,MGR-Public Relations And Fundraising Managers,0.0
Male,30.0,MGR-Public Relations And Fundraising Managers,0.0
Female,18.0,MGR-Public Relations And Fundraising Managers,0.0
Female,19.0,MGR-Public Relations And Fundraising Managers,0.0
Female,20.0,MGR-Public Relations And Fundraising Managers,0.0
Female,21.0,MGR-Public Relations And Fundraising Managers,0.0
Female,22.0,MGR-Public Relations And Fundraising Managers,0.0
Female,23.0,MGR-Public Relations And Fundraising Managers,0.0
Female,24.0,MGR-Public Relations And Fundraising Managers,0.0
Female,25.0,MGR-Public Relations And Fundraising Managers,0.0
Female,26.0,MGR-Public Relations And Fundraising Managers,0.0
Female,27.0,MGR-Public Relations And Fundraising Managers,0.0
Female,28.0,MGR-Public Relations And Fundraising Managers,0.0
Female,29.0,MGR-Public Relations And Fundraising Managers,0.0
Female,30.0,MGR-Public Relations And Fundraising Managers,0.0
Male,18.0,MGR-Administrative Services Managers,0.0
Male,19.0,MGR-Administrative Services Managers,0.0
Male,20.0,MGR-Administrative Services Managers,0.0
Male,21.0,MGR-Administrative Services Managers,0.0
Male,22.0,MGR-Administrative Services Managers,0.0
Male,23.0,MGR-Administrative Services Managers,0.0
Male,24.0,MGR-Administrative Services Managers,0.0
Male,25.0,MGR-Administrative Services Managers,0.0
Male,26.0,MGR-Administrative Services Managers,0.0
Male,27.0,MGR-Administrative Services Managers,0.0
Male,28.0,MGR-Administrative Services Managers,0.0
Male,29.0,MGR-Administrative Services Managers,0.0
Male,30.0,MGR-Administrative Services Managers,0.0
Female,18.0,MGR-Administrative Services Managers,0.0
Female,19.0,MGR-Administrative Services Managers,0.0
Female,20.0,MGR-Administrative Services Managers,0.0
Female,21.0,MGR-Administrative Services Managers,0.0
