Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight used: PWGTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universe: selected geographies: Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sex (SEX),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Male,,,,,,,,,,,,,,Female,,,,,,,,,,,,,
,,Age recode (AGEP_RC1),,,,,,,,,,,,,,Age recode (AGEP_RC1),,,,,,,,,,,,,
Occupation recode for 2018 and later based on 2018 OCC codes,Total,Total Age recode (AGEP_RC1),18,19,20,21,22,23,24,25,26,27,28,29,30,Total Age recode (AGEP_RC1),18,19,20,21,22,23,24,25,26,27,28,29,30
 -> Total,621374,317060,28426,26760,23174,21735,22084,27322,27802,25058,23825,22477,23310,20776,24311,304314,22753,28556,28232,22795,24001,25213,24332,20296,21547,23006,19805,21169,22609
MGR-Chief Executives And Legislators,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,126,0,0,204
MGR-General And Operations Managers,1086,776,0,0,0,0,0,15,0,0,0,86,300,71,304,310,0,0,0,0,0,0,0,154,0,56,65,0,35
MGR-Advertising And Promotions Managers,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,304,0,81,0,0
MGR-Marketing Managers,1487,144,0,0,0,0,0,0,0,144,0,0,0,0,0,1343,0,0,0,0,0,79,231,153,479,222,0,107,72
MGR-Sales Managers,683,180,0,0,0,0,0,0,101,0,0,28,51,0,0,503,0,0,0,0,0,0,0,0,0,40,0,463,0
MGR-Public Relations And Fundraising Managers,32,32,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGR-Administrative Services Managers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGR-Facilities Managers,253,253,0,0,0,0,0,0,0,0,0,0,83,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGR-Computer And Information Systems Managers,603,480,183,0,0,63,0,0,0,175,0,0,0,59,0,123,0,0,0,0,0,0,0,0,0,0,0,0,123
MGR-Financial Managers,2784,1340,0,0,0,0,0,272,0,0,62,393,46,359,208,1444,0,0,0,0,59,64,625,31,0,0,110,185,370
MGR-Compensation And Benefits Managers,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,66,0
MGR-Human Resources Managers,69,69,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGR-Training And Development Managers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGR-Industrial Production Managers,249,249,0,0,0,0,0,0,0,0,63,64,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGR-Purchasing Managers,473,473,0,0,0,0,0,0,0,304,106,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MGR-Transportation, Storage, And Distribution Managers",896,896,0,0,0,0,0,34,0,337,109,184,0,115,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MGR-Farmers, Ranchers, And Other Agricultural Managers",648,54,0,0,0,0,0,0,0,0,0,0,0,0,54,594,0,0,0,210,83,0,0,0,155,0,0,146,0
MGR-Construction Managers,1363,1363,0,0,0,0,0,0,0,0,914,53,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGR-Education And Childcare Administrators,2784,1786,0,0,677,135,223,58,0,0,0,440,139,33,81,998,0,0,0,82,105,0,230,0,0,132,229,44,176
MGR-Architectural And Engineering Managers,292,292,0,0,0,0,0,0,0,0,0,237,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGR-Food Service Managers,4122,2402,0,230,152,0,93,0,254,501,122,397,582,71,0,1720,0,0,100,0,0,0,0,174,349,149,544,404,0
MGR-Entertainment and Recreation Managers,80,80,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGR-Lodging Managers,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,73,0,0,0,195,0,0,0,79,0,0,0
MGR-Medical And Health Services Managers,1192,490,0,0,193,26,0,56,0,215,0,0,0,0,0,702,0,0,0,0,0,41,0,67,394,87,113,0,0
MGR-Natural Sciences Managers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MGR-Property, Real Estate, And Community Association Managers",632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,0,0,0,103,0,0,0,0,0,0,314,0,215
MGR-Social And Community Service Managers,1869,112,0,0,0,0,0,46,0,0,0,0,0,0,66,1757,96,0,0,0,18,0,0,162,534,49,430,0,468
MGR-Emergency Management Directors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGR-Other Managers,8538,4837,0,458,0,0,216,227,522,258,1005,140,780,554,677,3701,0,0,374,0,1256,0,325,427,73,255,301,376,314
"BUS-Agents And Business Managers Of Artists, Performers, And Athletes",266,266,0,0,73,147,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BUS-Buyers And Purchasing Agents, Farm Products",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BUS-Wholesale And Retail Buyers, Except Farm Products",818,379,0,0,0,0,257,0,29,0,0,0,0,0,93,439,0,0,0,160,0,204,0,0,0,0,0,75,0
"BUS-Purchasing Agents, Except Wholesale, Retail, And Farm Products",182,81,0,0,0,0,0,0,0,0,0,0,0,81,0,101,0,0,0,0,0,0,0,0,0,0,0,101,0
